epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5924.08,1.10389,0.62123,1.09168,0.87293,0.87288,0.89382,0.58617,1.27953,0.64477,1.20444,0.000990365,0.000990365,0.000990365
43,6065.97,1.09867,0.60894,1.08709,0.85868,0.86072,0.88842,0.58151,1.26228,0.65289,1.19081,0.000973861,0.000973861,0.000973861
44,6206.69,1.09289,0.61084,1.08877,0.8544,0.85817,0.88526,0.57233,1.28839,0.65132,1.21354,0.000957358,0.000957358,0.000957358
45,6347.87,1.08803,0.60191,1.07917,0.86814,0.85176,0.88297,0.57442,1.28295,0.6512,1.22346,0.000940855,0.000940855,0.000940855
46,6489.02,1.07733,0.59705,1.07674,0.84829,0.85965,0.87546,0.56537,1.28576,0.66157,1.21663,0.000924352,0.000924352,0.000924352
47,6626.96,1.07988,0.58787,1.08097,0.87284,0.83985,0.88783,0.58215,1.26659,0.64015,1.18989,0.000907848,0.000907848,0.000907848
48,6767.42,1.07995,0.59115,1.07399,0.87999,0.85449,0.88437,0.57213,1.28762,0.64128,1.2169,0.000891345,0.000891345,0.000891345
49,6909.78,1.06911,0.59047,1.07427,0.86299,0.85132,0.88237,0.57823,1.26729,0.64816,1.20296,0.000874842,0.000874842,0.000874842
50,7052.13,1.06995,0.58468,1.07325,0.87207,0.85979,0.8884,0.57715,1.26417,0.63069,1.19268,0.000858338,0.000858338,0.000858338
51,7193.64,1.06952,0.58655,1.07598,0.86184,0.84857,0.88424,0.5774,1.26894,0.63845,1.20626,0.000841835,0.000841835,0.000841835
52,7337.05,1.0596,0.5734,1.06706,0.8736,0.84414,0.88471,0.575,1.28274,0.64116,1.21353,0.000825332,0.000825332,0.000825332
53,7478.34,1.05746,0.57739,1.06592,0.86578,0.86131,0.88441,0.57493,1.26549,0.63119,1.19843,0.000808828,0.000808828,0.000808828
54,7621.36,1.05329,0.56852,1.06164,0.87538,0.85256,0.88417,0.57117,1.28248,0.63047,1.22466,0.000792325,0.000792325,0.000792325
55,7761.8,1.04548,0.56872,1.06328,0.86047,0.86735,0.88618,0.57654,1.27386,0.63489,1.21296,0.000775822,0.000775822,0.000775822
56,7903.77,1.04656,0.56418,1.06143,0.86343,0.85666,0.88427,0.57621,1.27049,0.62849,1.21167,0.000759318,0.000759318,0.000759318
57,8045.05,1.04028,0.55379,1.05941,0.86983,0.85933,0.88656,0.57725,1.27377,0.63019,1.20469,0.000742815,0.000742815,0.000742815
58,8187.38,1.02918,0.55424,1.05332,0.85917,0.87747,0.89238,0.58139,1.26322,0.63039,1.20494,0.000726312,0.000726312,0.000726312
59,8327.97,1.02716,0.54999,1.05168,0.86834,0.85947,0.88734,0.57601,1.27764,0.61537,1.2251,0.000709809,0.000709809,0.000709809
60,8472.1,1.02702,0.55162,1.05825,0.85701,0.8559,0.88508,0.57597,1.26948,0.62488,1.20817,0.000693305,0.000693305,0.000693305
61,8613.94,1.02045,0.54671,1.04692,0.85659,0.86097,0.88441,0.5756,1.27219,0.617,1.20991,0.000676802,0.000676802,0.000676802
62,8756.3,1.0139,0.54213,1.04376,0.86536,0.85708,0.88152,0.57482,1.27486,0.61735,1.2231,0.000660299,0.000660299,0.000660299
63,8897.65,1.00782,0.53604,1.04398,0.86108,0.8665,0.88707,0.58038,1.26886,0.61587,1.21401,0.000643795,0.000643795,0.000643795
64,9041.08,1.01115,0.54132,1.04692,0.86364,0.8611,0.88437,0.57846,1.28007,0.60914,1.2236,0.000627292,0.000627292,0.000627292
65,9183.79,1.00603,0.53697,1.04495,0.87534,0.85781,0.88413,0.57813,1.27746,0.61083,1.21761,0.000610789,0.000610789,0.000610789
66,9326.89,1.00439,0.52887,1.0388,0.85743,0.8592,0.87768,0.57192,1.27369,0.62111,1.2202,0.000594286,0.000594286,0.000594286
67,9468.44,1.00197,0.52904,1.03929,0.87097,0.85211,0.88134,0.5751,1.28103,0.61214,1.22427,0.000577782,0.000577782,0.000577782
68,9611.09,0.99521,0.52357,1.03635,0.84667,0.87559,0.87924,0.57291,1.2909,0.61053,1.23189,0.000561279,0.000561279,0.000561279
69,9751.27,0.99519,0.52061,1.03227,0.87187,0.85465,0.87945,0.57263,1.29725,0.61202,1.23834,0.000544776,0.000544776,0.000544776
70,9893.21,0.98715,0.51734,1.03479,0.85953,0.85942,0.88054,0.56946,1.29696,0.61873,1.24219,0.000528272,0.000528272,0.000528272
71,10033.5,0.98012,0.5129,1.02993,0.86522,0.86235,0.88141,0.57337,1.28491,0.6157,1.23503,0.000511769,0.000511769,0.000511769
72,10173.7,0.97579,0.51163,1.02947,0.8678,0.86414,0.8814,0.57298,1.28427,0.61543,1.22871,0.000495266,0.000495266,0.000495266
73,10316.4,0.97372,0.51362,1.02442,0.8672,0.86127,0.88292,0.57104,1.28611,0.61165,1.22985,0.000478762,0.000478762,0.000478762
74,10458.9,0.9676,0.50573,1.0262,0.85583,0.87151,0.88348,0.56847,1.2945,0.61779,1.2361,0.000462259,0.000462259,0.000462259
75,10600.7,0.97183,0.50377,1.02389,0.85714,0.87059,0.88626,0.5719,1.28598,0.60863,1.23382,0.000445756,0.000445756,0.000445756
76,10741.4,0.96681,0.50606,1.02905,0.86131,0.86782,0.88196,0.5702,1.28357,0.61576,1.23253,0.000429253,0.000429253,0.000429253
77,10883.2,0.96749,0.50241,1.0249,0.86493,0.86506,0.87841,0.56871,1.2888,0.61014,1.23199,0.000412749,0.000412749,0.000412749
78,11024.7,0.96065,0.50097,1.02093,0.87767,0.85133,0.88154,0.56962,1.29377,0.60494,1.24314,0.000396246,0.000396246,0.000396246
79,11168.3,0.95059,0.49287,1.0176,0.86771,0.85544,0.88249,0.56938,1.29766,0.61121,1.24696,0.000379743,0.000379743,0.000379743
80,11310,0.95365,0.49362,1.01981,0.8705,0.85354,0.88076,0.568,1.29243,0.61005,1.24332,0.000363239,0.000363239,0.000363239
81,11453,0.9521,0.49591,1.01857,0.87067,0.86051,0.88408,0.56952,1.28364,0.60773,1.23058,0.000346736,0.000346736,0.000346736
82,11593.4,0.95248,0.49488,1.01765,0.8676,0.85951,0.88424,0.57092,1.29279,0.60247,1.24665,0.000330233,0.000330233,0.000330233
83,11736.9,0.94426,0.49368,1.01549,0.86625,0.86415,0.87867,0.5686,1.29408,0.60284,1.24602,0.000313729,0.000313729,0.000313729
84,11877.2,0.93809,0.48729,1.01209,0.87222,0.85582,0.87932,0.5654,1.29756,0.61144,1.2544,0.000297226,0.000297226,0.000297226
85,12019.7,0.94215,0.48503,1.01144,0.8613,0.85758,0.87917,0.56647,1.29908,0.61597,1.24814,0.000280723,0.000280723,0.000280723
86,12158.9,0.93087,0.48254,1.00645,0.85971,0.8628,0.87981,0.56624,1.29597,0.61968,1.24678,0.00026422,0.00026422,0.00026422
87,12297.9,0.92544,0.4795,1.00651,0.86466,0.86362,0.87823,0.56481,1.29341,0.62297,1.24853,0.000247716,0.000247716,0.000247716
88,12439.2,0.92042,0.47617,1.00753,0.859,0.8637,0.87614,0.56366,1.29705,0.62111,1.25014,0.000231213,0.000231213,0.000231213
89,12578.6,0.9209,0.47324,1.00468,0.85813,0.86414,0.8768,0.56508,1.29732,0.61579,1.25413,0.00021471,0.00021471,0.00021471
90,12720.3,0.91428,0.46907,1.00403,0.85243,0.86352,0.87447,0.56253,1.29904,0.62105,1.2573,0.000198206,0.000198206,0.000198206
91,12863.8,0.87865,0.41756,0.97824,0.8627,0.85326,0.87273,0.56223,1.29887,0.61899,1.25672,0.000181703,0.000181703,0.000181703
92,12999.7,0.86256,0.40479,0.97258,0.86727,0.85454,0.87544,0.56242,1.30128,0.6198,1.25663,0.0001652,0.0001652,0.0001652
93,13138.7,0.85438,0.40023,0.9696,0.8672,0.86007,0.8763,0.5643,1.297,0.61711,1.25922,0.000148696,0.000148696,0.000148696
94,13274.5,0.85178,0.39865,0.96623,0.8634,0.85721,0.87594,0.563,1.30045,0.61885,1.25943,0.000132193,0.000132193,0.000132193
95,13411.2,0.84577,0.39325,0.96454,0.85131,0.86999,0.87513,0.56306,1.30338,0.61877,1.26188,0.00011569,0.00011569,0.00011569
96,13546.7,0.84476,0.39463,0.96697,0.86386,0.85888,0.87426,0.56272,1.30642,0.62183,1.26634,9.91865e-05,9.91865e-05,9.91865e-05
97,13682.3,0.83772,0.39189,0.9637,0.86569,0.85562,0.87275,0.56106,1.31173,0.62227,1.26949,8.26832e-05,8.26832e-05,8.26832e-05
98,13819.3,0.83673,0.38893,0.96036,0.85989,0.8605,0.87306,0.55992,1.31435,0.61901,1.27332,6.61799e-05,6.61799e-05,6.61799e-05
99,13956.4,0.8315,0.38546,0.95715,0.86852,0.84962,0.87042,0.55979,1.3131,0.61956,1.27324,4.96766e-05,4.96766e-05,4.96766e-05
100,14092.4,0.82978,0.38469,0.95924,0.85296,0.86476,0.87313,0.56018,1.31355,0.6211,1.27315,3.31733e-05,3.31733e-05,3.31733e-05
